ières,Type,Teneur en alcool,Brasserie,brasserie,localité,province,Principales bières,Production annuelle en hl,Géolocalisation
Cuvée du Flo Ambrée,"Fermentation haute, Ambrée","8,5 %",Brasserie du Flo,Brasserie du Flo,Hannut,Liège,"Flo, Cuvée Saint-Antoine",,"50° 39′ 51,47″ N, 5° 07′ 24,34″ E"
Cuvée du Flo Blonde,"Fermentation haute, Blonde",8 %,Brasserie du Flo,Brasserie du Flo,Hannut,Liège,"Flo, Cuvée Saint-Antoine",,"50° 39′ 51,47″ N, 5° 07′ 24,34″ E"
Cuvée du Flo Brune,"Fermentation haute, Brune",9 %,Brasserie du Flo,Brasserie du Flo,Hannut,Liège,"Flo, Cuvée Saint-Antoine",,"50° 39′ 51,47″ N, 5° 07′ 24,34″ E"
Cuvée du Flo Fruit,"Fermentation haute, Fruitée","6,5 %",Brasserie du Flo,Brasserie du Flo,Hannut,Liège,"Flo, Cuvée Saint-Antoine",,"50° 39′ 51,47″ N, 5° 07′ 24,34″ E"
Cuvée du Flo Miel,"Fermentation haute, Bière au miel","8,5 %",Brasserie du Flo,Brasserie du Flo,Hannut,Liège,"Flo, Cuvée Saint-Antoine",,"50° 39′ 51,47″ N, 5° 07′ 24,34″ E"
Cuvée du Tchesté,Fermentation haute,"7,5 %",Brasserie Les 3 Fourquets pour la Confrérie du Tchesté de Neufchâteau,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cuvée Ermesinde,"Fermentation haute, Ambrée","7,8 %",Brasserie Saint-Monon,Brasserie Saint-Monon,Nassogne,Luxembourg,Saint-Monon,600,"50° 08′ 29,32″ N, 5° 18′ 50,35″ E"
Cuvée Freddy,Stout,10 %,Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Cuvée Jeun'homme,Blonde,"6,5 %",Brasserie De Leite,Brasserie De Leite,Oostkamp,Flandre-Occidentale,"Femme Fatale, Bon Homme",,
Cuvée Jolie Môme,"Fermentation haute, Blanche","4,5 %",Brasserie du Flo,Brasserie du Flo,Hannut,Liège,"Flo, Cuvée Saint-Antoine",,"50° 39′ 51,47″ N, 5° 07′ 24,34″ E"
Cuvée René Oude Gueuze,Gueuze,"5,5 %",Brasserie Lindemans,Brasserie Lindemans,Leeuw-Saint-Pierre,Brabant flamand,"Lindemans, Foudroyante",,
Cuvée René Oude Kriek,Fruitée à base de Lambic,6 %,Brasserie Lindemans,Brasserie Lindemans,Leeuw-Saint-Pierre,Brabant flamand,"Lindemans, Foudroyante",,
Cuvée Li Crochon,Blonde,6.5 %,Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Cuvée Li Crochon,"Fermentation haute, Brune","8,7 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Cuvée Mam'zelle,Blonde,"8,5 %",Brasserie De Leite,Brasserie De Leite,Oostkamp,Flandre-Occidentale,"Femme Fatale, Bon Homme",,
La Cuvée Nico,Blonde,8 %,Brasserie du Brabant,Brasserie du Brabant,Genappe,Brabant wallon,La Brabançonne,,"50° 35′ 00,96″ N, 4° 27′ 08,31″ E"
Cuvée Saint-Antoine Blonde,Abbaye,"7,5 %",Brasserie du Flo,Brasserie du Flo,Hannut,Liège,"Flo, Cuvée Saint-Antoine",,"50° 39′ 51,47″ N, 5° 07′ 24,34″ E"
Cuvée Saint-Antoine Brune,"Abbaye, Ale",9 %,Brasserie du Flo,Brasserie du Flo,Hannut,Liège,"Flo, Cuvée Saint-Antoine",,"50° 39′ 51,47″ N, 5° 07′ 24,34″ E"
Cuvée Saint Gilloise,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Cuvée van de Keizer Blauw,RougeSpéciale,11 %,Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Cuvée van de Keizer Rood,"Blonde, Spéciale",10 %,Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Dagelyckx bier,(Bière-étiquette),8 %,Brasserie Jessenhofke,Brasserie Jessenhofke,Hasselt,Limbourg,Jessenhofke,,
Darinckdelver,Stout,"10,5 %",Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Dark Oster,Noire,8 %,Brasserie d'Oster,Brasserie d'Oster,Manhay,Luxembourg,Oster,,
Dark Sister,Brune,"6,7 %",Brasserie Anders! pour Brussels Beer Project,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dark White BBB,Fermentation haute,"4,5 %",Brasserie Fantôme,Brasserie Fantôme,Érezée,Luxembourg,Fantôme,,"50° 17′ 09,91″ N, 5° 30′ 46,84″ E"
De Boomgaard Framboise,Fruitée,"4,9 %",Brasserie d'Écaussinnes,Brasserie d'Écaussinnes,Écaussinnes,Hainaut,"1830, Ultra",,"50° 33′ 30,17″ N, 4° 08′ 06,91″ E"
de Chokier,"Fermentation haute, Ambrée",7 %,De Proefbrouwerij,De Proefbrouwerij,Lochristi,Flandre-Occidentale,bières à façon,,
De Eycken Balthazar,brune,9 %,Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
De Garre Tripel,Triple,"11,5 %",Staminee De Garre (Brasserie Van Steenberge),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
De Graal Blond,Blonde,"6,5 %",Brasserie De Graal,Brasserie De Graal,Brakel,Flandre-Orientale,De Graal,,
De Graal Dubbel,brune,"6,5 %",Brasserie De Graal,Brasserie De Graal,Brakel,Flandre-Orientale,De Graal,,
De Graal Gember,Blonde,8 %,Brasserie De Graal,Brasserie De Graal,Brakel,Flandre-Orientale,De Graal,,
De Graal SloCK,,"6,5 %",Brasserie De Graal,Brasserie De Graal,Brakel,Flandre-Orientale,De Graal,,
De Graal Tripel,Triple,9 %,Brasserie De Graal,Brasserie De Graal,Brakel,Flandre-Orientale,De Graal,,
De Graal Quest,,9 %,Brasserie De Graal,Brasserie De Graal,Brakel,Flandre-Orientale,De Graal,,
De Graal Triverius,Blanche,"6,8 %",Brasserie De Graal,Brasserie De Graal,Brakel,Flandre-Orientale,De Graal,,
Deinze Export,,"4,6 %",Huisbrouwerij Sint Canarus pour JCI Deinze en Leiestreek,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
De Kavijaks,IPA,7 %,De Dolle Brouwers pour Kaffee Kavijaks,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
De Koninck,Ambrée,"5,2 %",Brasserie De Koninck (Brasserie Duvel Moortgat),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
De Koninck Triple d'Anvers,Blonde,,Brasserie De Koninck (Brasserie Duvel Moortgat),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
De Koninck Winter,Rouge,"6,5 %",Brasserie De Koninck (Brasserie Duvel Moortgat),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Delhaize Christmas,(Bière-étiquette),9 %,Brasserie Affligem (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Delhaize Bière de table Blond,Bière de table,"1,5 %",Brasserie Piedbœuf (InBev),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Delhaize Bière de table Brune,Bière de table,"1,5 %",Brasserie Piedbœuf (InBev),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Delirium Nocturnum,"Brune, Fermentation haute",9 %,Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Delirium Tremens,Triple,9 %,Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Delirium Christmas,Bière de Noël,10 %,Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Delirium Red,Fruitée,"8,5 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Delta,Blonde,6 %,Brasserie Anders! pour Brussels Beer Project,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
De Maeght van Gottem,Blonde,"6,5 %",Huisbrouwerij Sint-Canarus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
De Nacht,Bière de Noël,"5,2 %",Brasserie Vissenaken,Brasserie Vissenaken,Tirlemont,Brabant flamand,Himelein,,
Den Alternatief,Lager,5 %,Brasserie Het Alternatief par la Brasserie Alvinne,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Den Bi3r,Triple,9 %,Brasserie Den Tseut,Brasserie Den Tseut,Assenede,Flandre-Orientale,"Den Tseut, Bras, Belle Cies",,
Den Bras,Brune,"7,5 %",Brasserie Den Tseut,Brasserie Den Tseut,Assenede,Flandre-Orientale,"Den Tseut, Bras, Belle Cies",,
Den Drupneuze,Bière de Noël,"8,5 %",Brasserie Den Tseut,Brasserie Den Tseut,Assenede,Flandre-Orientale,"Den Tseut, Bras, Belle Cies",,
Den Herberg Amber,Ambrée,5 %,Brasserie Den Herberg,Brasserie Den Herberg,Hal,Brabant flamand,Den Herberg,,
Den Herberg Blond,Blonde,"5,5 %",Brasserie Den Herberg,Brasserie Den Herberg,Hal,Brabant flamand,Den Herberg,,
Den Herberg Bruin,Brune,"5,5 %",Brasserie Den Herberg,Brasserie Den Herberg,Hal,Brabant flamand,Den Herberg,,
Den Herberg Tarwe,Blanche,5 %,Brasserie Den Herberg,Brasserie Den Herberg,Hal,Brabant flamand,Den Herberg,,
Den Mulder,Blonde,8 %,Brasserie Den Tseut,Brasserie Den Tseut,Assenede,Flandre-Orientale,"Den Tseut, Bras, Belle Cies",,
Den Tseut,"Blonde, Spéciale","6,5 %",Brasserie Den Tseut,Brasserie Den Tseut,Assenede,Flandre-Orientale,"Den Tseut, Bras, Belle Cies",,
Den Twaalf,Fermentation haute,12 %,Brasserie 't Gaverhopke,Brasserie 't Gaverhopke,Harelbeke,Flandre-Occidentale,Gaverhopke,,
Den Zytholoog,Blonde,"6,6 %",Brasserie De Graal pour Vacas,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dendermonde Tripel,"Abbaye, Triple",8 %,Brasserie De Block,Brasserie De Block,Merchtem,Brabant flamand,"Dendermonde Tripel, Kastaar, Satan",,
Dentergems Wit,Blanche,5 %,Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
De Regenboog IJzer,,6 %,Brasserie De Regenboog,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Deugniet,Triple (Bière-étiquette),"7,3 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
DeuS,"Brut, Blonde","11,5 %",Brasserie Bosteels,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Deux Nigauds,Brune,8 %,Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
De Verboden Vrucht,Fermentation haute,"8,5 %",Brasserie De Kluis (InBev),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
De Vlier X-Mas,Bière de Noël,"8,5 %",Brasserie De Vlier,Brasserie De Vlier,Holsbeek,Brabant flamand,Kessel,,
Diabolici,Triple,8 %,Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dikke Mathile,Fermentation haute,6 %,Brasserie Strubbe,Brasserie Strubbe,Ichtegem,Flandre-Occidentale,"Strubbe Pils, Dikke Mathile, Houten Kop",,
Diôle,Blonde,"6,5 %",Brasserie des Carrières,Brasserie des Carrières,Belœil,Hainaut,Diôle,,
Diôle Ambrée,Ambrée,"7,5 %",Brasserie des Carrières,Brasserie des Carrières,Belœil,Hainaut,Diôle,,
Diôle Brune,Brune,"8,5 %",Brasserie des Carrières,Brasserie des Carrières,Belœil,Hainaut,Diôle,,
Diôle de Noël,Saison,"8,5 %",Brasserie des Carrières,Brasserie des Carrières,Belœil,Hainaut,Diôle,,
La Divine,"Fermentation haute, Ambrée","9,5 %",Brasserie de Silly,Brasserie de Silly,Silly,Hainaut,"Abbaye de Forest, Double Enghien, Pink Killer, Silly Pils",,"50° 38′ 58,23″ N, 3° 55′ 30,25″ E"
Dju d'la,Brune,"6,5 %",Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
Dobbel Palm,Fermentation haute,6 %,Brasserie Palm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dobbelken Amber,Ambrée,"6,5 %",Brasserie Strubbe,Brasserie Strubbe,Ichtegem,Flandre-Occidentale,"Strubbe Pils, Dikke Mathile, Houten Kop",,
Dobbelken Bruin,Brune,5 %,Brasserie Strubbe,Brasserie Strubbe,Ichtegem,Flandre-Occidentale,"Strubbe Pils, Dikke Mathile, Houten Kop",,
Dogabière,(Bière-étiquette),"6,5 %",Huisbrouwerij Sint-Canarus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dominus Dubbel,Abbaye,"6,5 %",Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dominus Tripel,"Abbaye, Triple",8 %,Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Donkere Stoere,Brune,"8,2 %",Brasserie DijkWaert,Brasserie Dijkwaert,Herentals,Anvers,Thals,,
Double Bie,Brune,"6,5 %",Brasserie De Bie,Brasserie De Bie,Dentergem,Flandre-Occidentale,"Bie, De Bie, Hellekapelle",,
Double de Brabant,"Double, Brune","6,5 %",Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Double Enghien Blonde,"Fermentation haute, Blonde","7,5 %",Brasserie de Silly,Brasserie de Silly,Silly,Hainaut,"Abbaye de Forest, Double Enghien, Pink Killer, Silly Pils",,"50° 38′ 58,23″ N, 3° 55′ 30,25″ E"
Double Enghien Brune,"Fermentation haute, Ambrée",8 %,Brasserie de Silly,Brasserie de Silly,Silly,Hainaut,"Abbaye de Forest, Double Enghien, Pink Killer, Silly Pils",,"50° 38′ 58,23″ N, 3° 55′ 30,25″ E"
Double Export,"Fermentation haute, Ambrée","6,4 %",Brasserie L'Imprimerie,Brasserie L'Imprimerie,Uccle,Bruxelles,"Blanche de Saint-Job, Ekla, Stout Vandenheuvel",,"50° 47′ 40,47″ N, 4° 21′ 52,94″ E"
La Douce Vertus,"Fermentation haute, Ale",7 %,Brasserie Millevertus,Brasserie Millevertus,Tintigny,Luxembourg,"Douce Vertus, Bella Mère, Mère Vertus",,"49° 41′ 43,01″ N, 5° 29′ 32,04″ E"
Douglas Celtic Brown,"Brune, Ale","7,9 %",Scottish & Newcastle pour le Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Douglas Celtic Lager,"Blonde, Lager",5 %,Scottish & Newcastle pour le Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Douglas Celtic Red,"Ambrée-rouge, Fermentation haute","7,9 %",Scottish & Newcastle pour le Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Douglas Celtic Super,"Blonde, Fermentation haute","7,9 %",Scottish & Newcastle pour le Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Douglas Celtic XXX Strong,"Blonde, Fermentation haute",12 %,Scottish & Newcastle pour le Groupe John Martin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Drongens Plezierke,"Fermentation haute, Brune","7,5 %",Brasserie Slaghmuylder,Brasserie Slaghmuylder,Ninove,Flandre-Orientale,"Witkap Pater, Slag Lager Pils",,
Druïde Blond,Blonde,"6,5 %",De Proefbrouwerij pour la Brasserie Druïde,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Druïde Bruin,Brune,"6,5 %",De Proefbrouwerij pour la Brasserie Druïde,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Druïde Grand Q,"Triple, Blonde","8,5 %",De Proefbrouwerij pour la Brasserie Druïde,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Druivenbière,Fruitée,6 %,Brasserie Van Steenberge pour la Brasserie Paeleman,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dubbel Buitenlust,Blonde,"8,5 %",De Proefbrouwerij,De Proefbrouwerij,Lochristi,Flandre-Occidentale,bières à façon,,
Dubbel Klok,Brune,"8,5 %",Brasserie Boelens,Brasserie Boelens,Saint-Nicolas,Flandre-Orientale,"Waase Wolf, Klok",,"51° 08′ 50,09″ N, 4° 05′ 19,78″ E"
Ducassis,Fruitée,3 %,Brasserie des Légendes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Duchesse de Bourgogne,Vieille brune,"6,2 %",Brasserie Verhaeghe,Brasserie Verhaeghe,Vichte,Flandre-Occidentale,"Duchesse de Bourgogne, Barbe, Cambrinus",,
Duivels bière,Brune,8 %,Brasserie Boon,Brasserie Boon,Hal,Brabant flamand,Boon,,"50° 42′ 44,66″ N, 4° 13′ 12,37″ E"
Dulle Griet,Double,"6,5 %",De Scheldebrouwerij,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dulle Teve,Triple,10 %,De Dolle Brouwers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Durboyse blonde,Blonde,"6,5 %",Brasserie Lefèbvre,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Durboyse brune,Brune,6 %,Brasserie Lefèbvre,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Durboyse triple,"Blonde, Triple",8 %,Brasserie Lefèbvre,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Duvel,Fermentation haute,"8,5 %",Brasserie Duvel Moortgat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Duvel Tripel Hop,Fermentation haute,"9,5 %",Brasserie Duvel Moortgat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Échappée Belle,Blonde,6 %,Brasserie L'Échappée Belle,Brasserie L'Échappée Belle,Villers-la-Ville,Brabant wallon,2016,,
Echt Kriekenbière,Fruitée,"6,8 %",Brasserie Verhaeghe,Brasserie Verhaeghe,Vichte,Flandre-Occidentale,"Duchesse de Bourgogne, Barbe, Cambrinus",,
Echte Kriek,Fruitée,"6,8 %",Brasserie Verhaeghe,Brasserie Verhaeghe,Vichte,Flandre-Occidentale,"Duchesse de Bourgogne, Barbe, Cambrinus",,
Edel-Brau,NA,"0,3 %",Brasserie Strubbe,Brasserie Strubbe,Ichtegem,Flandre-Occidentale,"Strubbe Pils, Dikke Mathile, Houten Kop",,
Eerwaarde Pater,Rouge-brune,9 %,Brasserie Het Alternatief par la Brasserie De Graal ou Brasserie Alvinne,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Eeuwige Liefde,Brune,"8,2 %",Brasserie DijkWaert,Brasserie Dijkwaert,Herentals,Anvers,Thals,,
Egmont,Blonde,"6,5 %",Brasserie Strubbe pour la Brasserie Crombé,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ekla,Blonde Fermentation haute,5 %,Brasserie L'Imprimerie,Brasserie L'Imprimerie,Uccle,Bruxelles,"Blanche de Saint-Job, Ekla, Stout Vandenheuvel",,"50° 47′ 40,47″ N, 4° 21′ 52,94″ E"
Elfique Ambrée,Ambrée,7 %,Brasserie Elfique,Brasserie Elfique,Aywaille,Liège,Elfique,,"50° 28′ 55,74″ N, 5° 41′ 18,34″ E"
Elfique La Redoutable,"Brune, Triple",8 %,Brasserie Elfique,Brasserie Elfique,Aywaille,Liège,Elfique,,"50° 28′ 55,74″ N, 5° 41′ 18,34″ E"
Elliot Brew,IPA,9 %,De Struise Brouwers par la Brasserie Deca,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
El Toro,"Fermentation haute, IPA","6,5 %",Brasserie Contreras,Brasserie Contreras,Gavere,Flandre-Orientale,"Contrapils, Valeir",,
Embrasse,"Fermentation haute, Brune",9 %,Brasserie De Dochter van de Korenaar,Brasserie De Dochter van de Korenaar,Baerle-Duc,Anvers,"Noblesse, Finesse, Bravoure, Courage",,
Embrasse Special Edition,Fermentation haute,9 %,Brasserie De Dochter van de Korenaar,Brasserie De Dochter van de Korenaar,Baerle-Duc,Anvers,"Noblesse, Finesse, Bravoure, Courage",,
Ename Blond,"Abbaye, Fermentation haute","6,5 %",Brasserie Roman,Brasserie Roman,Audenarde,Flandre-Orientale,"Adriaen Brouwer, Ename, Wieze Tripel",,
Ename Dubbel,"Abbaye, Fermentation haute","6,5 %",Brasserie Roman,Brasserie Roman,Audenarde,Flandre-Orientale,"Adriaen Brouwer, Ename, Wieze Tripel",,
Ename Tripel,"Abbaye, Triple","8,5 %",Brasserie Roman,Brasserie Roman,Audenarde,Flandre-Orientale,"Adriaen Brouwer, Ename, Wieze Tripel",,
Ename Cuvée 974,Fermentation haute,7 %,Brasserie Roman,Brasserie Roman,Audenarde,Flandre-Orientale,"Adriaen Brouwer, Ename, Wieze Tripel",,
L'Enfant Terrible,Fermentation haute,7 %,Brasserie De Dochter van de Korenaar,Brasserie De Dochter van de Korenaar,Baerle-Duc,Anvers,"Noblesse, Finesse, Bravoure, Courage",,
Enfant Terriple,"Blonde, Triple","8,2 %",Brasserie De Leite,Brasserie De Leite,Oostkamp,Flandre-Occidentale,"Femme Fatale, Bon Homme",,
Enghien Noël,"Fermentation haute, Triple, Bière de Noël",9 %,Brasserie de Silly,Brasserie de Silly,Silly,Hainaut,"Abbaye de Forest, Double Enghien, Pink Killer, Silly Pils",,"50° 38′ 58,23″ N, 3° 55′ 30,25″ E"
Equinox,Brune,8 %,Brasserie de la Senne,Brasserie de la Senne,Molenbeek-Saint-Jean,Bruxelles,"Zinnebier, Taras Boulba, Stouterik",,"50° 51′ 36,86″ N, 4° 18′ 30,09″ E"
Esperluette Ambrée,Ambrée,"6,2 %",Brasse & Vous,Brasse & Vous,Liège,Liège,"Légia, Esperluette",,
Esperluette Blonde,Blonde,"7,1 %",Brasse & Vous,Brasse & Vous,Liège,Liège,"Légia, Esperluette",,
Esperluette Gla-Gla,"Saison, Brune","7,5 %",Brasse & Vous,Brasse & Vous,Liège,Liège,"Légia, Esperluette",,
Estaminet Premium Pils,Pils,"5,2 %",Brasserie Palm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Eupener Bier,Pils,"5,2 %",Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
Export 8,Pils,"4,7 %",Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
Ezel Bruin,Brune,"6,5 %",Brasserie Bavik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ezel Wit,Blanche,"5,8 %",Brasserie Bavik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fagnes au Miel biologique,Bio,"6,5 %",Brasserie des Fagnes,Brasserie des Fagnes,Couvin,Namur,Super des Fagnes,,"50° 05′ 01,1″ N, 4° 31′ 23,95″ E"
Fagnes Blanche,Blanche,"5,8 %",Brasserie des Fagnes,Brasserie des Fagnes,Couvin,Namur,Super des Fagnes,,"50° 05′ 01,1″ N, 4° 31′ 23,95″ E"
Fagnes Fruits des Bois,Fruitée,6 %,Brasserie des Fagnes,Brasserie des Fagnes,Couvin,Namur,Super des Fagnes,,"50° 05′ 01,1″ N, 4° 31′ 23,95″ E"
Fagnes La Saison,Blonde,"6,5 %",Brasserie des Fagnes,Brasserie des Fagnes,Couvin,Namur,Super des Fagnes,,"50° 05′ 01,1″ N, 4° 31′ 23,95″ E"
Fagnes Quatre Céréales,Blonde,"8,5 %",Brasserie des Fagnes,Brasserie des Fagnes,Couvin,Namur,Super des Fagnes,,"50° 05′ 01,1″ N, 4° 31′ 23,95″ E"
Fancy,NA,"0,5 %",Brasserie Bavik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fantôme,Fermentation haute,8 %,Brasserie Fantôme,Brasserie Fantôme,Érezée,Luxembourg,Fantôme,,"50° 17′ 09,91″ N, 5° 30′ 46,84″ E"
Fantôme Chocolat,Fermentation haute,8 %,Brasserie Fantôme,Brasserie Fantôme,Érezée,Luxembourg,Fantôme,,"50° 17′ 09,91″ N, 5° 30′ 46,84″ E"
Fantôme Spéciale Noel,Fermentation haute,8 %,Brasserie Fantôme,Brasserie Fantôme,Érezée,Luxembourg,Fantôme,,"50° 17′ 09,91″ N, 5° 30′ 46,84″ E"
Faro Boon,Faro,4 %,Brasserie Boon,Brasserie Boon,Hal,Brabant flamand,Boon,,"50° 42′ 44,66″ N, 4° 13′ 12,37″ E"
Faro Girardin,Faro,5 %,Brasserie Girardin,Brasserie Girardin,Dilbeek,Brabant flamand,Girardin,,
Faro Lambic Lindemans,Faro,"4,5 %",Brasserie Lindemans,Brasserie Lindemans,Leeuw-Saint-Pierre,Brabant flamand,"Lindemans, Foudroyante",,
Faro Perte Totale,Faro,5 %,Brasserie Boon,Brasserie Boon,Hal,Brabant flamand,Boon,,"50° 42′ 44,66″ N, 4° 13′ 12,37″ E"
Fasso Blond,Blonde,"6,5 %",Brasserie Vissenaken,Brasserie Vissenaken,Tirlemont,Brabant flamand,Himelein,,
Felix Kriek Vieille brune,Kriek,6 %,Brasserie Verhaeghe pour la Brasserie Clarysse,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Felix Kriekbière,Kriek,"5,2 %",Brasserie Verhaeghe pour la Brasserie Clarysse,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Felix Vieille brune,Brune,"5,2 %",Brasserie Verhaeghe pour la Brasserie Clarysse,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Felix Speciaal Oudenaards,Rouge-brune,"4,6 %",Brasserie Verhaeghe pour la Brasserie Clarysse,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Femme Fatale,"Fermentation haute, Ambrée","6,5 %",Brasserie De Leite,Brasserie De Leite,Oostkamp,Flandre-Occidentale,"Femme Fatale, Bon Homme",,
Ferme Framboos,Fruitée,8 %,Brasserie De Vlier,Brasserie De Vlier,Holsbeek,Brabant flamand,Kessel,,
Festina Lente,Brune,7 %,Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Finesse,"Fermentation haute, Triple","8,5 %",Brasserie De Dochter van de Korenaar,Brasserie De Dochter van de Korenaar,Baerle-Duc,Anvers,"Noblesse, Finesse, Bravoure, Courage",,
Flandrien,Fermentation haute,7 %,Brasserie Louwaege,Brasserie Louwaege,Kortemark,Flandre-Occidentale,,,
